index,video_id,title,video_url,thumbnail_file,thumbnail_url,content_type,duration,view_count
1,eVl56VuBWIY,How humble can you be for love?,https://www.youtube.com/watch?v=eVl56VuBWIY,001_eVl56VuBWIY.jpg,https://i.ytimg.com/vi/eVl56VuBWIY/maxresdefault.jpg,image/jpeg,621.0,
2,bC4kZVAdOt4,你的遊戲不需要運氣,https://www.youtube.com/watch?v=bC4kZVAdOt4,002_bC4kZVAdOt4.jpg,https://i.ytimg.com/vi/bC4kZVAdOt4/maxresdefault.jpg,image/jpeg,626.0,
3,RSCSS0w8J_c,傳說的觀眾到底有什麼毛病？,https://www.youtube.com/watch?v=RSCSS0w8J_c,003_RSCSS0w8J_c.jpg,https://i.ytimg.com/vi/RSCSS0w8J_c/maxresdefault.jpg,image/jpeg,718.0,
4,Chi7i_P8tFE,這輩子沒聽過這麼扯的哭點。,https://www.youtube.com/watch?v=Chi7i_P8tFE,004_Chi7i_P8tFE.jpg,https://i.ytimg.com/vi/Chi7i_P8tFE/maxresdefault.jpg,image/jpeg,628.0,
5,2hR5CR4quCE,我承認我過氣了...,https://www.youtube.com/watch?v=2hR5CR4quCE,005_2hR5CR4quCE.jpg,https://i.ytimg.com/vi/2hR5CR4quCE/maxresdefault.jpg,image/jpeg,503.0,
6,AVYcnkq3lrs,台灣的法律到底怎麼了？,https://www.youtube.com/watch?v=AVYcnkq3lrs,006_AVYcnkq3lrs.jpg,https://i.ytimg.com/vi/AVYcnkq3lrs/maxresdefault.jpg,image/jpeg,1480.0,
7,l7kgFvKLom8,這政策到底誰想出來的？,https://www.youtube.com/watch?v=l7kgFvKLom8,007_l7kgFvKLom8.jpg,https://i.ytimg.com/vi/l7kgFvKLom8/maxresdefault.jpg,image/jpeg,637.0,
8,gBux_Su9v0Q,This revelation was immediately refuted by the chat logs...,https://www.youtube.com/watch?v=gBux_Su9v0Q,008_gBux_Su9v0Q.jpg,https://i.ytimg.com/vi/gBux_Su9v0Q/maxresdefault.jpg,image/jpeg,702.0,
9,KKsdcYJ37_o,Taiwan news channels are practically meme-making machines!,https://www.youtube.com/watch?v=KKsdcYJ37_o,009_KKsdcYJ37_o.jpg,https://i.ytimg.com/vi/KKsdcYJ37_o/maxresdefault.jpg,image/jpeg,732.0,
10,xdFlGX-gsSg,MaiMai and I were completely taken aback when we saw this!,https://www.youtube.com/watch?v=xdFlGX-gsSg,010_xdFlGX-gsSg.jpg,https://i.ytimg.com/vi/xdFlGX-gsSg/maxresdefault.jpg,image/jpeg,556.0,
11,7Ui9NEJnpDM,I regret taking this challenge...,https://www.youtube.com/watch?v=7Ui9NEJnpDM,011_7Ui9NEJnpDM.jpg,https://i.ytimg.com/vi/7Ui9NEJnpDM/maxresdefault.jpg,image/jpeg,580.0,
12,fHmPzr4tbW4,千萬別跟這種奇葩鄰居起衝突...,https://www.youtube.com/watch?v=fHmPzr4tbW4,012_fHmPzr4tbW4.jpg,https://i.ytimg.com/vi/fHmPzr4tbW4/maxresdefault.jpg,image/jpeg,651.0,
13,pq3suX24yBg,I'm so fed up with the terms and conditions of this game!,https://www.youtube.com/watch?v=pq3suX24yBg,013_pq3suX24yBg.jpg,https://i.ytimg.com/vi/pq3suX24yBg/maxresdefault.jpg,image/jpeg,646.0,
14,YKqIjtbVSCA,千萬別開眼球追蹤玩這款遊戲...,https://www.youtube.com/watch?v=YKqIjtbVSCA,014_YKqIjtbVSCA.jpg,https://i.ytimg.com/vi/YKqIjtbVSCA/maxresdefault.jpg,image/jpeg,623.0,
15,pal9S0CxvxY,我真的受夠跟他們一起玩了！,https://www.youtube.com/watch?v=pal9S0CxvxY,015_pal9S0CxvxY.jpg,https://i.ytimg.com/vi/pal9S0CxvxY/maxresdefault.jpg,image/jpeg,654.0,
16,B6FiGkBYRho,I turned the room into a 40-degree desert...,https://www.youtube.com/watch?v=B6FiGkBYRho,016_B6FiGkBYRho.jpg,https://i.ytimg.com/vi/B6FiGkBYRho/maxresdefault.jpg,image/jpeg,865.0,
17,Hg7ciUy4zjc,這是我見過最難帶的小孩！,https://www.youtube.com/watch?v=Hg7ciUy4zjc,017_Hg7ciUy4zjc.jpg,https://i.ytimg.com/vi/Hg7ciUy4zjc/maxresdefault.jpg,image/jpeg,761.0,
18,OoFRK4Fs7Nc,This is the first time I've ever played something that made me want to marry an antique!,https://www.youtube.com/watch?v=OoFRK4Fs7Nc,018_OoFRK4Fs7Nc.jpg,https://i.ytimg.com/vi/OoFRK4Fs7Nc/maxresdefault.jpg,image/jpeg,637.0,
19,bkkcXS6eqe0,你遇過這種宿舍怪人嗎？,https://www.youtube.com/watch?v=bkkcXS6eqe0,019_bkkcXS6eqe0.jpg,https://i.ytimg.com/vi/bkkcXS6eqe0/maxresdefault.jpg,image/jpeg,852.0,
20,VeXD31xFjN0,我把男生最討厭的行為做成排行！,https://www.youtube.com/watch?v=VeXD31xFjN0,020_VeXD31xFjN0.jpg,https://i.ytimg.com/vi/VeXD31xFjN0/maxresdefault.jpg,image/jpeg,699.0,
21,JsrWW9WcEWY,這種人也能交到女友？,https://www.youtube.com/watch?v=JsrWW9WcEWY,021_JsrWW9WcEWY.jpg,https://i.ytimg.com/vi/JsrWW9WcEWY/maxresdefault.jpg,image/jpeg,600.0,
22,kQF8pHowMcY,14單下去竟然是這種結果...,https://www.youtube.com/watch?v=kQF8pHowMcY,022_kQF8pHowMcY.jpg,https://i.ytimg.com/vi/kQF8pHowMcY/maxresdefault.jpg,image/jpeg,792.0,
23,uplElwQZiRw,我把女生最討厭的行為做成排行！,https://www.youtube.com/watch?v=uplElwQZiRw,023_uplElwQZiRw.jpg,https://i.ytimg.com/vi/uplElwQZiRw/maxresdefault.jpg,image/jpeg,707.0,
24,b_ukDhqlgho,小編滿分，總部零分💀,https://www.youtube.com/watch?v=b_ukDhqlgho,024_b_ukDhqlgho.jpg,https://i.ytimg.com/vi/b_ukDhqlgho/maxresdefault.jpg,image/jpeg,1279.0,
25,qXspfJq4zJw,我沒想到搬玻璃也能玩到破防🤯,https://www.youtube.com/watch?v=qXspfJq4zJw,025_qXspfJq4zJw.jpg,https://i.ytimg.com/vi/qXspfJq4zJw/maxresdefault.jpg,image/jpeg,508.0,
26,eBDCD6YuT9I,這波操作直接變行銷災難...,https://www.youtube.com/watch?v=eBDCD6YuT9I,026_eBDCD6YuT9I.jpg,https://i.ytimg.com/vi/eBDCD6YuT9I/maxresdefault.jpg,image/jpeg,1127.0,
27,nxfYxKC1NVE,這款遊戲讓我想起了黑歷史,https://www.youtube.com/watch?v=nxfYxKC1NVE,027_nxfYxKC1NVE.jpg,https://i.ytimg.com/vi/nxfYxKC1NVE/maxresdefault.jpg,image/jpeg,911.0,
28,84CYuMCAT0w,我把曾經爆紅的商品做成排行榜,https://www.youtube.com/watch?v=84CYuMCAT0w,028_84CYuMCAT0w.jpg,https://i.ytimg.com/vi/84CYuMCAT0w/maxresdefault.jpg,image/jpeg,1087.0,
29,bmPbdl5_cFw,特教生該不該在普通班？,https://www.youtube.com/watch?v=bmPbdl5_cFw,029_bmPbdl5_cFw.jpg,https://i.ytimg.com/vi/bmPbdl5_cFw/maxresdefault.jpg,image/jpeg,657.0,
30,jMekYaLAPCk,我把去年YouTuber爭議事件做成排行榜,https://www.youtube.com/watch?v=jMekYaLAPCk,030_jMekYaLAPCk.jpg,https://i.ytimg.com/vi/jMekYaLAPCk/maxresdefault.jpg,image/jpeg,1020.0,
31,7BQYOHDMImg,這是我去年最可惜的一支影片。,https://www.youtube.com/watch?v=7BQYOHDMImg,031_7BQYOHDMImg.jpg,https://i.ytimg.com/vi/7BQYOHDMImg/maxresdefault.jpg,image/jpeg,621.0,
32,icBXX2MlGhU,取消演出是正義…還是過頭？,https://www.youtube.com/watch?v=icBXX2MlGhU,032_icBXX2MlGhU.jpg,https://i.ytimg.com/vi/icBXX2MlGhU/maxresdefault.jpg,image/jpeg,1291.0,
33,ql0eER9xBt0,全台灣的水族館我去完了，並給他們排行,https://www.youtube.com/watch?v=ql0eER9xBt0,033_ql0eER9xBt0.jpg,https://i.ytimg.com/vi/ql0eER9xBt0/maxresdefault.jpg,image/jpeg,1069.0,
34,s8EfUCKNw4s,我最後一次嘴硬，真的最後一次,https://www.youtube.com/watch?v=s8EfUCKNw4s,034_s8EfUCKNw4s.jpg,https://i.ytimg.com/vi/s8EfUCKNw4s/maxresdefault.jpg,image/jpeg,749.0,
35,8IdoMxjWAGs,史上最難走路遊戲！😨,https://www.youtube.com/watch?v=8IdoMxjWAGs,035_8IdoMxjWAGs.jpg,https://i.ytimg.com/vi/8IdoMxjWAGs/maxresdefault.jpg,image/jpeg,623.0,
36,3Dl90vbnMj4,我發現麥麥的新才藝也太離譜了...🤯,https://www.youtube.com/watch?v=3Dl90vbnMj4,036_3Dl90vbnMj4.jpg,https://i.ytimg.com/vi/3Dl90vbnMj4/maxresdefault.jpg,image/jpeg,762.0,
37,jxmgqolv2tw,喜劇演員vs不要笑挑戰,https://www.youtube.com/watch?v=jxmgqolv2tw,037_jxmgqolv2tw.jpg,https://i.ytimg.com/vi/jxmgqolv2tw/maxresdefault.jpg,image/jpeg,1320.0,
38,atFnXY4Ys3k,史上最沒內容的美食評測【排隊獵人試播集】,https://www.youtube.com/watch?v=atFnXY4Ys3k,038_atFnXY4Ys3k.jpg,https://i.ytimg.com/vi/atFnXY4Ys3k/maxresdefault.jpg,image/jpeg,610.0,
